,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
1382,1382,Sun 18 May,14:00,London Wasps,21-10,Bath Rugby,Adams Park,2007-2008,21,10,Sun 18 May 2008
1383,1383,Sun 18 May,16:30,Gloucester Rugby,25-26,Leicester Tigers,Kingsholm,2007-2008,25,26,Sun 18 May 2008
1384,1384,Sat 31 May,15:00,London Wasps,26-16,Leicester Tigers,Twickenham Stadium,2007-2008,26,16,Sat 31 May 2008
1385,1385,Sat 6 Sep,14:30,London Irish,26-14,London Wasps,Twickenham Stadium,2008-2009,26,14,Sat 6 Sep 2008
1386,1386,Sat 6 Sep,17:00,Saracens,21-24,Harlequins,Twickenham Stadium,2008-2009,21,24,Sat 6 Sep 2008
1387,1387,Sun 7 Sep,13:30,Northampton Saints,21-13,Worcester Warriors,Franklin's Gardens,2008-2009,21,13,Sun 7 Sep 2008
1388,1388,Sun 7 Sep,15:00,Bristol Rugby,20-33,Bath Rugby,Memorial Stadium,2008-2009,20,33,Sun 7 Sep 2008
1389,1389,Sun 7 Sep,15:00,Newcastle Falcons,9-14,Sale Sharks,Kingston Park,2008-2009,9,14,Sun 7 Sep 2008
1390,1390,Sun 7 Sep,16:00,Gloucester Rugby,8-20,Leicester Tigers,Kingsholm,2008-2009,8,20,Sun 7 Sep 2008
1391,1391,Fri 12 Sep,19:45,Sale Sharks,18-15,Saracens,Edgeley Park,2008-2009,18,15,Fri 12 Sep 2008
1392,1392,Sat 13 Sep,14:45,Bath Rugby,17-21,Gloucester Rugby,Recreation Ground,2008-2009,17,21,Sat 13 Sep 2008
1393,1393,Sat 13 Sep,15:00,Harlequins,31-13,Bristol Rugby,Twickenham Stoop,2008-2009,31,13,Sat 13 Sep 2008
1394,1394,Sat 13 Sep,15:00,Leicester Tigers,24-22,London Irish,Welford Road,2008-2009,24,22,Sat 13 Sep 2008
1395,1395,Sun 14 Sep,15:00,London Wasps,10-11,Worcester Warriors,Adams Park,2008-2009,10,11,Sun 14 Sep 2008
1396,1396,Sun 14 Sep,15:00,Newcastle Falcons,32-22,Northampton Saints,Kingston Park,2008-2009,32,22,Sun 14 Sep 2008
1397,1397,Fri 19 Sep,19:45,Bristol Rugby,6-9,Sale Sharks,Memorial Stadium,2008-2009,6,9,Fri 19 Sep 2008
1398,1398,Sat 20 Sep,15:00,Gloucester Rugby,24-20,Harlequins,Kingsholm,2008-2009,24,20,Sat 20 Sep 2008
1399,1399,Sat 20 Sep,15:00,London Irish,16-20,Bath Rugby,Madejski Stadium,2008-2009,16,20,Sat 20 Sep 2008
1400,1400,Sat 20 Sep,15:00,Northampton Saints,24-20,London Wasps,Franklin's Gardens,2008-2009,24,20,Sat 20 Sep 2008
1401,1401,Sat 20 Sep,15:00,Worcester Warriors,17-19,Leicester Tigers,Sixways,2008-2009,17,19,Sat 20 Sep 2008
1402,1402,Sun 21 Sep,15:00,Saracens,44-14,Newcastle Falcons,Vicarage Road,2008-2009,44,14,Sun 21 Sep 2008
1403,1403,Fri 26 Sep,19:45,Sale Sharks,23-9,Gloucester Rugby,Edgeley Park,2008-2009,23,9,Fri 26 Sep 2008
1404,1404,Fri 26 Sep,20:00,Newcastle Falcons,17-3,Bristol Rugby,Kingston Park,2008-2009,17,3,Fri 26 Sep 2008
1405,1405,Fri 26 Sep,20:05,Leicester Tigers,19-28,London Wasps,Welford Road,2008-2009,19,28,Fri 26 Sep 2008
1406,1406,Sat 27 Sep,14:15,Bath Rugby,37-19,Worcester Warriors,Recreation Ground,2008-2009,37,19,Sat 27 Sep 2008
1407,1407,Sat 27 Sep,14:45,Saracens,26-12,Northampton Saints,Vicarage Road,2008-2009,26,12,Sat 27 Sep 2008
1408,1408,Sat 27 Sep,15:00,Harlequins,27-28,London Irish,Twickenham Stoop,2008-2009,27,28,Sat 27 Sep 2008
1409,1409,Tue 30 Sep,19:45,Gloucester Rugby,39-23,Newcastle Falcons,Kingsholm,2008-2009,39,23,Tue 30 Sep 2008
1410,1410,Wed 1 Oct,19:30,London Wasps,23-27,Bath Rugby,Adams Park,2008-2009,23,27,Wed 1 Oct 2008
1411,1411,Wed 1 Oct,19:45,Bristol Rugby,16-23,Saracens,Memorial Stadium,2008-2009,16,23,Wed 1 Oct 2008
1412,1412,Wed 1 Oct,19:45,Leicester Tigers,29-19,Northampton Saints,Welford Road,2008-2009,29,19,Wed 1 Oct 2008
1413,1413,Wed 1 Oct,19:45,London Irish,28-6,Sale Sharks,Madejski Stadium,2008-2009,28,6,Wed 1 Oct 2008
1414,1414,Thu 2 Oct,20:00,Worcester Warriors,23-30,Harlequins,Sixways,2008-2009,23,30,Thu 2 Oct 2008
1415,1415,Fri 14 Nov,20:00,Sale Sharks,9-17,Worcester Warriors,Edgeley Park,2008-2009,9,17,Fri 14 Nov 2008
1416,1416,Sat 15 Nov,13:00,Bath Rugby,25-21,Leicester Tigers,Recreation Ground,2008-2009,25,21,Sat 15 Nov 2008
1417,1417,Sun 16 Nov,15:00,Bristol Rugby,14-13,Northampton Saints,Memorial Stadium,2008-2009,14,13,Sun 16 Nov 2008
1418,1418,Sun 16 Nov,15:00,Harlequins,32-10,London Wasps,Twickenham Stoop,2008-2009,32,10,Sun 16 Nov 2008
1419,1419,Sun 16 Nov,15:00,Newcastle Falcons,8-24,London Irish,Kingston Park,2008-2009,8,24,Sun 16 Nov 2008
1420,1420,Sun 16 Nov,15:00,Saracens,21-25,Gloucester Rugby,Vicarage Road,2008-2009,21,25,Sun 16 Nov 2008
1421,1421,Fri 21 Nov,20:00,Gloucester Rugby,39-10,Bristol Rugby,Kingsholm,2008-2009,39,10,Fri 21 Nov 2008
1422,1422,Fri 21 Nov,20:00,Worcester Warriors,26-11,Newcastle Falcons,Sixways,2008-2009,26,11,Fri 21 Nov 2008
1423,1423,Sat 22 Nov,13:00,Northampton Saints,28-28,Bath Rugby,Franklin's Gardens,2008-2009,28,28,Sat 22 Nov 2008
1424,1424,Sat 22 Nov,15:00,Leicester Tigers,27-14,Harlequins,Welford Road,2008-2009,27,14,Sat 22 Nov 2008
1425,1425,Sun 23 Nov,15:00,London Irish,27-14,Saracens,Madejski Stadium,2008-2009,27,14,Sun 23 Nov 2008
1426,1426,Sun 23 Nov,15:00,London Wasps,12-13,Sale Sharks,Adams Park,2008-2009,12,13,Sun 23 Nov 2008
1427,1427,Fri 28 Nov,19:45,Sale Sharks,27-13,Leicester Tigers,Edgeley Park,2008-2009,27,13,Fri 28 Nov 2008
1428,1428,Fri 28 Nov,20:00,Newcastle Falcons,17-23,London Wasps,Kingston Park,2008-2009,17,23,Fri 28 Nov 2008
1429,1429,Sat 29 Nov,16:30,Gloucester Rugby,33-10,Northampton Saints,Kingsholm,2008-2009,33,10,Sat 29 Nov 2008
1430,1430,Sun 30 Nov,15:00,Bristol Rugby,13-18,London Irish,Memorial Stadium,2008-2009,13,18,Sun 30 Nov 2008
1431,1431,Sun 30 Nov,15:00,Harlequins,21-14,Bath Rugby,Twickenham Stoop,2008-2009,21,14,Sun 30 Nov 2008
1432,1432,Sun 30 Nov,15:00,Saracens,23-6,Worcester Warriors,Vicarage Road,2008-2009,23,6,Sun 30 Nov 2008
1433,1433,Sat 20 Dec,13:30,Leicester Tigers,20-3,Newcastle Falcons,Welford Road,2008-2009,20,3,Sat 20 Dec 2008
1434,1434,Sat 20 Dec,14:15,London Wasps,33-24,Saracens,Adams Park,2008-2009,33,24,Sat 20 Dec 2008
1435,1435,Sat 20 Dec,14:45,Bath Rugby,24-20,Sale Sharks,Recreation Ground,2008-2009,24,20,Sat 20 Dec 2008
1436,1436,Sat 20 Dec,15:00,London Irish,42-12,Gloucester Rugby,Madejski Stadium,2008-2009,42,12,Sat 20 Dec 2008
1437,1437,Sat 20 Dec,15:00,Northampton Saints,23-13,Harlequins,Franklin's Gardens,2008-2009,23,13,Sat 20 Dec 2008
1438,1438,Sat 20 Dec,15:00,Worcester Warriors,20-20,Bristol Rugby,Sixways,2008-2009,20,20,Sat 20 Dec 2008
1439,1439,Fri 26 Dec,15:00,Sale Sharks,31-3,London Wasps,Edgeley Park,2008-2009,31,3,Fri 26 Dec 2008
1440,1440,Sat 27 Dec,13:30,Saracens,16-13,London Irish,Vicarage Road,2008-2009,16,13,Sat 27 Dec 2008
1441,1441,Sat 27 Dec,14:15,Bath Rugby,25-14,Northampton Saints,Recreation Ground,2008-2009,25,14,Sat 27 Dec 2008
1442,1442,Sat 27 Dec,15:00,Bristol Rugby,10-29,Gloucester Rugby,Memorial Stadium,2008-2009,10,29,Sat 27 Dec 2008
1443,1443,Sat 27 Dec,15:00,Newcastle Falcons,16-16,Worcester Warriors,Kingston Park,2008-2009,16,16,Sat 27 Dec 2008
1444,1444,Sat 27 Dec,16:00,Harlequins,26-26,Leicester Tigers,Twickenham Stadium,2008-2009,26,26,Sat 27 Dec 2008
1445,1445,Sat 3 Jan,15:00,Gloucester Rugby,22-16,Saracens,Kingsholm,2008-2009,22,16,Sat 3 Jan 2009
1446,1446,Sat 3 Jan,15:00,London Irish,48-8,Newcastle Falcons,Madejski Stadium,2008-2009,48,8,Sat 3 Jan 2009
1447,1447,Sat 3 Jan,15:00,Northampton Saints,30-8,Bristol Rugby,Franklin's Gardens,2008-2009,30,8,Sat 3 Jan 2009
1448,1448,Sun 4 Jan,13:30,Leicester Tigers,24-22,Bath Rugby,Welford Road,2008-2009,24,22,Sun 4 Jan 2009
1449,1449,Sun 4 Jan,16:00,London Wasps,24-18,Harlequins,Adams Park,2008-2009,24,18,Sun 4 Jan 2009
1450,1450,Fri 9 Jan,19:45,Sale Sharks,14-8,London Irish,Edgeley Park,2008-2009,14,8,Fri 9 Jan 2009
1451,1451,Sat 10 Jan,17:00,Northampton Saints,17-13,Leicester Tigers,Franklin's Gardens,2008-2009,17,13,Sat 10 Jan 2009
1452,1452,Sun 11 Jan,15:00,Newcastle Falcons,10-7,Gloucester Rugby,Kingston Park,2008-2009,10,7,Sun 11 Jan 2009
1453,1453,Sun 11 Jan,15:00,Saracens,37-13,Bristol Rugby,Vicarage Road,2008-2009,37,13,Sun 11 Jan 2009
1454,1454,Sat 31 Jan,14:45,Gloucester Rugby,23-21,London Irish,Kingsholm,2008-2009,23,21,Sat 31 Jan 2009
1455,1455,Sat 31 Jan,15:00,Harlequins,27-6,Northampton Saints,Twickenham Stoop,2008-2009,27,6,Sat 31 Jan 2009
1456,1456,Sat 31 Jan,15:00,Worcester Warriors,20-37,Sale Sharks,Sixways,2008-2009,20,37,Sat 31 Jan 2009
1457,1457,Fri 13 Feb,19:45,Bristol Rugby,3-35,Newcastle Falcons,Memorial Stadium,2008-2009,3,35,Fri 13 Feb 2009
1458,1458,Sat 14 Feb,14:30,London Irish,9-14,Harlequins,Madejski Stadium,2008-2009,9,14,Sat 14 Feb 2009
1459,1459,Sat 14 Feb,15:00,Gloucester Rugby,24-17,Sale Sharks,Kingsholm,2008-2009,24,17,Sat 14 Feb 2009
1460,1460,Sat 14 Feb,15:00,Northampton Saints,20-15,Saracens,Franklin's Gardens,2008-2009,20,15,Sat 14 Feb 2009
1461,1461,Sat 14 Feb,15:00,Worcester Warriors,17-34,Bath Rugby,Sixways,2008-2009,17,34,Sat 14 Feb 2009
1462,1462,Sun 15 Feb,17:00,London Wasps,36-29,Leicester Tigers,Adams Park,2008-2009,36,29,Sun 15 Feb 2009
1463,1463,Fri 20 Feb,19:45,Sale Sharks,32-13,Bristol Rugby,Edgeley Park,2008-2009,32,13,Fri 20 Feb 2009
1464,1464,Fri 20 Feb,20:00,Newcastle Falcons,13-9,Saracens,Kingston Park,2008-2009,13,9,Fri 20 Feb 2009
1465,1465,Sat 21 Feb,14:15,Bath Rugby,20-20,London Irish,Recreation Ground,2008-2009,20,20,Sat 21 Feb 2009
1466,1466,Sat 21 Feb,14:45,Harlequins,14-9,Gloucester Rugby,Twickenham Stoop,2008-2009,14,9,Sat 21 Feb 2009
1467,1467,Sat 21 Feb,15:00,Leicester Tigers,38-5,Worcester Warriors,Welford Road,2008-2009,38,5,Sat 21 Feb 2009
1468,1468,Sun 22 Feb,15:00,London Wasps,9-5,Northampton Saints,Adams Park,2008-2009,9,5,Sun 22 Feb 2009
1469,1469,Sat 28 Feb,15:00,Gloucester Rugby,36-27,Bath Rugby,Kingsholm,2008-2009,36,27,Sat 28 Feb 2009
1470,1470,Sat 28 Feb,15:00,Northampton Saints,13-19,Newcastle Falcons,Franklin's Gardens,2008-2009,13,19,Sat 28 Feb 2009
1471,1471,Sat 28 Feb,15:00,Worcester Warriors,13-12,London Wasps,Sixways,2008-2009,13,12,Sat 28 Feb 2009
1472,1472,Sun 1 Mar,13:00,London Irish,28-31,Leicester Tigers,Madejski Stadium,2008-2009,28,31,Sun 1 Mar 2009
1473,1473,Sun 1 Mar,15:00,Bristol Rugby,14-17,Harlequins,Memorial Stadium,2008-2009,14,17,Sun 1 Mar 2009
1474,1474,Sun 1 Mar,15:00,Saracens,24-23,Sale Sharks,Vicarage Road,2008-2009,24,23,Sun 1 Mar 2009
1475,1475,Sat 7 Mar,14:15,Bath Rugby,45-8,Bristol Rugby,Recreation Ground,2008-2009,45,8,Sat 7 Mar 2009
1476,1476,Sat 7 Mar,14:45,Leicester Tigers,24-10,Gloucester Rugby,Welford Road,2008-2009,24,10,Sat 7 Mar 2009
1477,1477,Sat 7 Mar,15:00,Harlequins,21-15,Saracens,Twickenham Stoop,2008-2009,21,15,Sat 7 Mar 2009
1478,1478,Sat 7 Mar,15:00,Worcester Warriors,12-22,Northampton Saints,Sixways,2008-2009,12,22,Sat 7 Mar 2009
1479,1479,Sun 8 Mar,13:15,Sale Sharks,25-32,Newcastle Falcons,Edgeley Park,2008-2009,25,32,Sun 8 Mar 2009
1480,1480,Sun 8 Mar,15:30,London Wasps,21-16,London Irish,Adams Park,2008-2009,21,16,Sun 8 Mar 2009
1481,1481,Fri 13 Mar,19:45,Bristol Rugby,17-23,Leicester Tigers,Memorial Stadium,2008-2009,17,23,Fri 13 Mar 2009
1482,1482,Sat 14 Mar,15:00,Gloucester Rugby,24-22,London Wasps,Kingsholm,2008-2009,24,22,Sat 14 Mar 2009
1483,1483,Sat 14 Mar,15:00,Northampton Saints,38-3,Sale Sharks,Franklin's Gardens,2008-2009,38,3,Sat 14 Mar 2009
1484,1484,Sun 15 Mar,13:00,London Irish,38-17,Worcester Warriors,Madejski Stadium,2008-2009,38,17,Sun 15 Mar 2009
1485,1485,Sun 15 Mar,13:00,Newcastle Falcons,24-16,Harlequins,Kingston Park,2008-2009,24,16,Sun 15 Mar 2009
1486,1486,Sun 15 Mar,13:00,Saracens,20-16,Bath Rugby,Vicarage Road,2008-2009,20,16,Sun 15 Mar 2009
1487,1487,Sat 21 Mar,13:30,Bath Rugby,36-25,Newcastle Falcons,Recreation Ground,2008-2009,36,25,Sat 21 Mar 2009
1488,1488,Sat 21 Mar,14:45,Leicester Tigers,46-16,Saracens,Welford Road,2008-2009,46,16,Sat 21 Mar 2009
1489,1489,Sun 22 Mar,14:30,London Irish,32-27,Northampton Saints,Madejski Stadium,2008-2009,32,27,Sun 22 Mar 2009
1490,1490,Sun 22 Mar,15:00,Harlequins,38-20,Sale Sharks,Twickenham Stoop,2008-2009,38,20,Sun 22 Mar 2009
1491,1491,Sun 22 Mar,15:00,London Wasps,21-19,Bristol Rugby,Adams Park,2008-2009,21,19,Sun 22 Mar 2009
1492,1492,Sun 22 Mar,15:00,Worcester Warriors,14-10,Gloucester Rugby,Sixways,2008-2009,14,10,Sun 22 Mar 2009
1493,1493,Fri 27 Mar,19:45,Sale Sharks,23-16,Bath Rugby,Edgeley Park,2008-2009,23,16,Fri 27 Mar 2009
1494,1494,Fri 27 Mar,20:00,Newcastle Falcons,14-10,Leicester Tigers,Kingston Park,2008-2009,14,10,Fri 27 Mar 2009
1495,1495,Sun 29 Mar,12:30,Bristol Rugby,37-18,Worcester Warriors,Memorial Stadium,2008-2009,37,18,Sun 29 Mar 2009
1496,1496,Sun 29 Mar,14:30,Saracens,19-14,London Wasps,Vicarage Road,2008-2009,19,14,Sun 29 Mar 2009
1497,1497,Wed 1 Apr,19:45,Harlequins,60-14,Worcester Warriors,Twickenham Stoop,2008-2009,60,14,Wed 1 Apr 2009
1498,1498,Wed 1 Apr,20:00,Bath Rugby,22-14,London Wasps,Recreation Ground,2008-2009,22,14,Wed 1 Apr 2009
1499,1499,Sat 4 Apr,14:45,Bath Rugby,3-19,Harlequins,Recreation Ground,2008-2009,3,19,Sat 4 Apr 2009
1500,1500,Sat 4 Apr,15:00,London Irish,38-21,Bristol Rugby,Madejski Stadium,2008-2009,38,21,Sat 4 Apr 2009
1501,1501,Sat 4 Apr,15:00,Northampton Saints,40-22,Gloucester Rugby,Franklin's Gardens,2008-2009,40,22,Sat 4 Apr 2009
1502,1502,Sat 4 Apr,15:00,Worcester Warriors,22-8,Saracens,Sixways,2008-2009,22,8,Sat 4 Apr 2009
1503,1503,Sat 4 Apr,17:00,Leicester Tigers,37-31,Sale Sharks,Welford Road,2008-2009,37,31,Sat 4 Apr 2009
1504,1504,Sun 5 Apr,15:00,London Wasps,12-6,Newcastle Falcons,Adams Park,2008-2009,12,6,Sun 5 Apr 2009
1505,1505,Fri 17 Apr,19:45,Sale Sharks,28-6,Harlequins,Edgeley Park,2008-2009,28,6,Fri 17 Apr 2009
1506,1506,Sat 18 Apr,15:00,Northampton Saints,21-17,London Irish,Franklin's Gardens,2008-2009,21,17,Sat 18 Apr 2009
1507,1507,Sun 19 Apr,15:00,Bristol Rugby,18-36,London Wasps,Memorial Stadium,2008-2009,18,36,Sun 19 Apr 2009
1508,1508,Sun 19 Apr,15:00,Saracens,13-16,Leicester Tigers,Vicarage Road,2008-2009,13,16,Sun 19 Apr 2009
1509,1509,Sun 19 Apr,15:45,Newcastle Falcons,14-15,Bath Rugby,Kingston Park,2008-2009,14,15,Sun 19 Apr 2009
1510,1510,Tue 21 Apr,19:30,Gloucester Rugby,6-13,Worcester Warriors,Kingsholm,2008-2009,6,13,Tue 21 Apr 2009
1511,1511,Sat 25 Apr,15:00,Bath Rugby,33-18,Saracens,Recreation Ground,2008-2009,33,18,Sat 25 Apr 2009
1512,1512,Sat 25 Apr,15:00,Harlequins,31-12,Newcastle Falcons,Twickenham Stoop,2008-2009,31,12,Sat 25 Apr 2009
1513,1513,Sat 25 Apr,15:00,Leicester Tigers,73-3,Bristol Rugby,King Power Stadium,2008-2009,73,3,Sat 25 Apr 2009
1514,1514,Sat 25 Apr,15:00,London Wasps,34-3,Gloucester Rugby,Adams Park,2008-2009,34,3,Sat 25 Apr 2009
1515,1515,Sat 25 Apr,15:00,Sale Sharks,24-18,Northampton Saints,Edgeley Park,2008-2009,24,18,Sat 25 Apr 2009
1516,1516,Sat 25 Apr,15:00,Worcester Warriors,15-32,London Irish,Sixways,2008-2009,15,32,Sat 25 Apr 2009
1517,1517,Sat 9 May,15:00,Leicester Tigers,24-10,Bath Rugby,King Power Stadium,2008-2009,24,10,Sat 9 May 2009
1518,1518,Sat 9 May,17:30,Harlequins,0-17,London Irish,Twickenham Stoop,2008-2009,0,17,Sat 9 May 2009
1519,1519,Sat 16 May,17:30,Leicester Tigers,10-9,London Irish,Twickenham Stadium,2008-2009,10,9,Sat 16 May 2009
1520,1520,Fri 4 Sep,19:45,Sale Sharks,15-12,Leicester Tigers,Edgeley Park,2009-2010,15,12,Fri 4 Sep 2009
1521,1521,Sat 5 Sep,14:30,Saracens,18-14,London Irish,Twickenham Stadium,2009-2010,18,14,Sat 5 Sep 2009
1522,1522,Sat 5 Sep,17:15,London Wasps,26-15,Harlequins,Twickenham Stadium,2009-2010,26,15,Sat 5 Sep 2009
1523,1523,Sun 6 Sep,13:15,Northampton Saints,20-17,Worcester Warriors,Franklin's Gardens,2009-2010,20,17,Sun 6 Sep 2009
1524,1524,Sun 6 Sep,15:00,Leeds Carnegie,9-9,Newcastle Falcons,Headingley Carnegie,2009-2010,9,9,Sun 6 Sep 2009
1525,1525,Sun 6 Sep,15:30,Gloucester Rugby,24-5,Bath Rugby,Kingsholm,2009-2010,24,5,Sun 6 Sep 2009
1526,1526,Fri 11 Sep,20:00,Worcester Warriors,27-7,Leeds Carnegie,Sixways,2009-2010,27,7,Fri 11 Sep 2009
1527,1527,Sat 12 Sep,14:15,Bath Rugby,15-17,London Wasps,Recreation Ground,2009-2010,15,17,Sat 12 Sep 2009
1528,1528,Sat 12 Sep,14:45,Saracens,19-16,Northampton Saints,Wembley Stadium,2009-2010,19,16,Sat 12 Sep 2009
1529,1529,Sat 12 Sep,15:00,Harlequins,9-15,Leicester Tigers,Twickenham Stoop,2009-2010,9,15,Sat 12 Sep 2009
1530,1530,Sun 13 Sep,15:00,London Irish,40-10,Gloucester Rugby,Madejski Stadium,2009-2010,40,10,Sun 13 Sep 2009
1531,1531,Sun 13 Sep,15:00,Newcastle Falcons,16-16,Sale Sharks,Kingston Park,2009-2010,16,16,Sun 13 Sep 2009
1532,1532,Fri 18 Sep,19:45,Sale Sharks,12-25,Bath Rugby,Edgeley Park,2009-2010,12,25,Fri 18 Sep 2009
1533,1533,Sat 19 Sep,15:00,Gloucester Rugby,14-27,Northampton Saints,Kingsholm,2009-2010,14,27,Sat 19 Sep 2009
1534,1534,Sat 19 Sep,15:00,Harlequins,9-22,Saracens,Twickenham Stoop,2009-2010,9,22,Sat 19 Sep 2009
1535,1535,Sat 19 Sep,17:35,Leicester Tigers,15-6,Newcastle Falcons,Welford Road,2009-2010,15,6,Sat 19 Sep 2009
1536,1536,Sun 20 Sep,15:00,Leeds Carnegie,7-56,London Irish,Headingley Carnegie,2009-2010,7,56,Sun 20 Sep 2009
1537,1537,Sun 20 Sep,15:00,London Wasps,23-3,Worcester Warriors,Adams Park,2009-2010,23,3,Sun 20 Sep 2009
1538,1538,Fri 25 Sep,20:00,Newcastle Falcons,17-17,Harlequins,Kingston Park,2009-2010,17,17,Fri 25 Sep 2009
1539,1539,Sat 26 Sep,15:00,Northampton Saints,30-10,Leeds Carnegie,Franklin's Gardens,2009-2010,30,10,Sat 26 Sep 2009
1540,1540,Sat 26 Sep,15:00,Worcester Warriors,24-18,Sale Sharks,Sixways,2009-2010,24,18,Sat 26 Sep 2009
1541,1541,Sat 26 Sep,18:05,Bath Rugby,20-20,Leicester Tigers,Recreation Ground,2009-2010,20,20,Sat 26 Sep 2009
1542,1542,Sun 27 Sep,15:00,London Irish,28-16,London Wasps,Madejski Stadium,2009-2010,28,16,Sun 27 Sep 2009
1543,1543,Sun 27 Sep,15:00,Saracens,19-16,Gloucester Rugby,Vicarage Road,2009-2010,19,16,Sun 27 Sep 2009
1544,1544,Fri 2 Oct,19:45,Sale Sharks,8-11,London Irish,Edgeley Park,2009-2010,8,11,Fri 2 Oct 2009
1545,1545,Sat 3 Oct,15:00,Leicester Tigers,19-14,Worcester Warriors,Welford Road,2009-2010,19,14,Sat 3 Oct 2009
1546,1546,Sat 3 Oct,18:05,Harlequins,13-11,Bath Rugby,Twickenham Stoop,2009-2010,13,11,Sat 3 Oct 2009
1547,1547,Sun 4 Oct,15:00,Leeds Carnegie,10-26,Gloucester Rugby,Headingley Carnegie,2009-2010,10,26,Sun 4 Oct 2009
1548,1548,Sun 4 Oct,15:00,London Wasps,20-15,Northampton Saints,Adams Park,2009-2010,20,15,Sun 4 Oct 2009
1549,1549,Sun 4 Oct,15:00,Newcastle Falcons,15-22,Saracens,Kingston Park,2009-2010,15,22,Sun 4 Oct 2009
1550,1550,Sat 24 Oct,14:15,Bath Rugby,16-27,Newcastle Falcons,Recreation Ground,2009-2010,16,27,Sat 24 Oct 2009
1551,1551,Sat 24 Oct,15:00,Northampton Saints,21-16,Sale Sharks,Franklin's Gardens,2009-2010,21,16,Sat 24 Oct 2009
1552,1552,Sat 24 Oct,15:00,Worcester Warriors,22-26,Harlequins,Sixways,2009-2010,22,26,Sat 24 Oct 2009
1553,1553,Sat 24 Oct,15:15,London Irish,18-12,Leicester Tigers,Madejski Stadium,2009-2010,18,12,Sat 24 Oct 2009
1554,1554,Sat 24 Oct,17:35,Gloucester Rugby,6-35,London Wasps,Kingsholm,2009-2010,6,35,Sat 24 Oct 2009
1555,1555,Sun 25 Oct,15:00,Saracens,21-15,Leeds Carnegie,Vicarage Road,2009-2010,21,15,Sun 25 Oct 2009
1556,1556,Fri 30 Oct,19:45,Sale Sharks,28-23,Gloucester Rugby,Edgeley Park,2009-2010,28,23,Fri 30 Oct 2009
1557,1557,Sat 31 Oct,14:15,Bath Rugby,11-12,Saracens,Recreation Ground,2009-2010,11,12,Sat 31 Oct 2009
1558,1558,Sat 31 Oct,15:00,Harlequins,9-9,London Irish,Twickenham Stoop,2009-2010,9,9,Sat 31 Oct 2009
1559,1559,Sat 31 Oct,17:35,Leicester Tigers,29-15,Northampton Saints,Welford Road,2009-2010,29,15,Sat 31 Oct 2009
1560,1560,Sun 1 Nov,13:15,London Wasps,9-15,Leeds Carnegie,Adams Park,2009-2010,9,15,Sun 1 Nov 2009
1561,1561,Sun 1 Nov,15:00,Newcastle Falcons,14-3,Worcester Warriors,Kingston Park,2009-2010,14,3,Sun 1 Nov 2009
1562,1562,Fri 20 Nov,19:45,Gloucester Rugby,12-9,Leicester Tigers,Kingsholm,2009-2010,12,9,Fri 20 Nov 2009
1563,1563,Fri 20 Nov,20:00,Worcester Warriors,12-12,Bath Rugby,Sixways,2009-2010,12,12,Fri 20 Nov 2009
1564,1564,Sat 21 Nov,13:00,Northampton Saints,26-17,Harlequins,Franklin's Gardens,2009-2010,26,17,Sat 21 Nov 2009
1565,1565,Sun 22 Nov,15:00,Leeds Carnegie,17-24,Sale Sharks,Headingley Carnegie,2009-2010,17,24,Sun 22 Nov 2009
1566,1566,Sun 22 Nov,15:00,London Irish,11-15,Newcastle Falcons,Madejski Stadium,2009-2010,11,15,Sun 22 Nov 2009
1567,1567,Sun 22 Nov,15:00,Saracens,22-6,London Wasps,Vicarage Road,2009-2010,22,6,Sun 22 Nov 2009
1568,1568,Fri 27 Nov,20:00,Newcastle Falcons,8-28,Northampton Saints,Kingston Park,2009-2010,8,28,Fri 27 Nov 2009
1569,1569,Fri 27 Nov,20:00,Worcester Warriors,12-12,Saracens,Sixways,2009-2010,12,12,Fri 27 Nov 2009
1570,1570,Sat 28 Nov,15:00,Harlequins,35-29,Gloucester Rugby,Twickenham Stoop,2009-2010,35,29,Sat 28 Nov 2009
1571,1571,Sat 28 Nov,15:00,Leicester Tigers,39-6,Leeds Carnegie,Welford Road,2009-2010,39,6,Sat 28 Nov 2009
1572,1572,Sat 28 Nov,17:35,Bath Rugby,0-16,London Irish,Recreation Ground,2009-2010,0,16,Sat 28 Nov 2009
1573,1573,Fri 4 Dec,19:30,Leeds Carnegie,27-30,Harlequins,Headingley Carnegie,2009-2010,27,30,Fri 4 Dec 2009
1574,1574,Sat 5 Dec,15:00,Gloucester Rugby,25-13,Newcastle Falcons,Kingsholm,2009-2010,25,13,Sat 5 Dec 2009
1575,1575,Sat 5 Dec,15:00,London Irish,16-16,Worcester Warriors,Madejski Stadium,2009-2010,16,16,Sat 5 Dec 2009
1576,1576,Sat 5 Dec,15:00,Northampton Saints,15-13,Bath Rugby,Franklin's Gardens,2009-2010,15,13,Sat 5 Dec 2009
1577,1577,Sat 5 Dec,17:35,Saracens,15-13,Sale Sharks,Vicarage Road,2009-2010,15,13,Sat 5 Dec 2009
1578,1578,Sun 6 Dec,15:00,London Wasps,24-22,Leicester Tigers,Adams Park,2009-2010,24,22,Sun 6 Dec 2009
1579,1579,Sat 26 Dec,16:15,Worcester Warriors,6-26,Northampton Saints,Sixways,2009-2010,6,26,Sat 26 Dec 2009
